"MaGV","TenGV","ChuyenNganh","HocVi","Khoa","Email","DienThoai","MatKhau"
"GV127","Bùi Quang Đức","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","DucBQ.GV127@ptit.edu.vn","0850045175","ducbq@127"
"GV128","Bùi Thị Dân","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","DanBT.GV128@ptit.edu.vn","0377354450","danbt@128"
"GV140","Đặng Hoài Bắc","KT Dien-Dien tu","GS","KT Dien-Dien tu","BacDH.GV140@ptit.edu.vn","0937970567","bacdh@140"
"GV148","Đào Thị Hồng","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","HongDT.GV148@ptit.edu.vn","0800537000","hongdt@148"
"GV172","Hà Thị Thu Lan","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","LanHTT.GV172@ptit.edu.vn","0890733847","lanhtt@172"
"GV174","Hồ Nhựt Minh","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","MinhHN.GV174@ptit.edu.vn","0351798107","minhhn@174"
"GV178","Hoàng Thị Lan Hương","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","HuongHTL.GV178@ptit.edu.vn","0980564283","huonghtl@178"
"GV190","Lê Đức Toàn","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","ToanLD.GV190@ptit.edu.vn","0331013943","toanld@190"
"GV192","Lê Duy Khánh","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","KhanhLD.GV192@ptit.edu.vn","0962361239","khanhld@192"
"GV198","Lê Quang Phú","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","PhuLQ.GV198@ptit.edu.vn","0865724853","phulq@198"
"GV211","Lê Xuân Thành","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","ThanhLX.GV211@ptit.edu.vn","0942676971","thanhlx@211"
"GV212","Lương Công Duẩn","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","DuanLC.GV212@ptit.edu.vn","0379039480","duanlc@212"
"GV215","Nghiêm Xuân Cường","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","CuongNX.GV215@ptit.edu.vn","0905482548","cuongnx@215"
"GV216","Ngô Đình Phong","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","PhongND.GV216@ptit.edu.vn","0310715459","phongnd@216"
"GV217","Ngô Đức Thiện","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","ThienND.GV217@ptit.edu.vn","0355425303","thiennd@217"
"GV226","Nguyễn Bình","KT Dien-Dien tu","GS","KT Dien-Dien tu","BinhN.GV226@ptit.edu.vn","0913018184","binhn@226"
"GV235","Nguyễn Đức Việt","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","VietND.GV235@ptit.edu.vn","0886020388","vietnd@235"
"GV238","Nguyễn Duy Trường","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","TruongND.GV238@ptit.edu.vn","0982036024","truongnd@238"
"GV242","Nguyễn Hồng Hoa","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","HoaNH.GV242@ptit.edu.vn","0315624864","hoanh@242"
"GV260","Nguyễn Ngọc Minh","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","MinhNN.GV260@ptit.edu.vn","0935022253","minhnn@260"
"GV265","Nguyễn Quốc Dinh","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","DinhNQ.GV265@ptit.edu.vn","0996536238","dinhnq@265"
"GV266","Nguyễn Quốc Uy","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","UyNQ.GV266@ptit.edu.vn","0884134702","uynq@266"
"GV272","Nguyễn Thanh Bình","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","BinhNT.GV272@ptit.edu.vn","0865914043","binhnt@272"
"GV288","Nguyễn Thị Thanh","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","ThanhNT.GV288@ptit.edu.vn","0993420322","thanhnt@288"
"GV294","Nguyễn Thị Thu Nga","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","NgaNTT.GV294@ptit.edu.vn","0884643937","ngantt@294"
"GV296","Nguyễn Thị Thúy Liễu","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","LieuNTT.GV296@ptit.edu.vn","0864861304","lieuntt@296"
